Facility,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah,Noah
Meter name,1st Floor Electricity,1st Floor Res Elec Use,2nd Floor Electricity,2nd Floor Res Elec Use,3rd Floor Electricity,3rd Floor Res Elec Use,4th Floor Electricity,4th Floor Res Elec Use,Basement Elec,Electricity Use,High Flow H2O,HVAC Electricity Use,Low Flow H2O,Noah Residential Electricity Use,Total Lighting and Plug Load,Water Use
Meter id,oberlin_noah_1st_floor_e,oberlin_noah_res_1st_floor_e,oberlin_noah_2nd_floor_e,oberlin_noah_res_2nd_floor_e,oberlin_noah_3rd_floor_e,oberlin_noah_res_3rd_floor_e,oberlin_noah_4th_floor_e,oberlin_noah_res_4th_floor_e,oberlin_noah_basement_e,oberlin_noah_main_e,oberlin_noah_high_h2o,oberlin_noah_hvac_e,oberlin_noah_low_h2o,oberlin_noah_res_e,oberlin_noah_light_plug_tot_e,oberlin_noah_total_h2o

Timestamp,Noah - 1st Floor Electricity (kWh),Noah - 1st Floor Res Elec Use (kWh),Noah - 2nd Floor Electricity (kWh),Noah - 2nd Floor Res Elec Use (kWh),Noah - 3rd Floor Electricity (kWh),Noah - 3rd Floor Res Elec Use (kWh),Noah - 4th Floor Electricity (kWh),Noah - 4th Floor Res Elec Use (kWh),Noah - Basement Elec (kWh),Noah - Electricity Use (kWh),Noah - High Flow H2O (gal),Noah - HVAC Electricity Use (kWh),Noah - Low Flow H2O (gal),Noah - Noah Residential Electricity Use (kWh),Noah - Total Lighting and Plug Load (kWh),Noah - Water Use (gal)
2022-04-14 14:45,0.74,0.76172,0.405,0.41678,0.39375,0.40472,0.27875,0.28678,-0.56875,1.87,10.034,0.62125,18.29811,1.8175,1.8175,28.33211
2022-04-14 15:00,0.7325,0.79931,0.31375,0.34237,0.3925,0.42883,0.2925,0.3195,-0.466,1.89,3.806,0.62475,22.20678,1.73125,1.73125,26.01278
2022-04-14 15:15,0.73375,0.79549,0.34875,0.37753,0.42125,0.45324,0.3075,0.33368,-0.4795,1.96,2.422,0.62825,8.75127,1.81125,1.81125,11.17327
2022-04-14 15:30,0.7175,0.79148,0.35875,0.39637,0.3875,0.4271,0.30375,0.33508,-0.437,1.95,1.73,0.6195,22.37973,1.7675,1.7675,24.10973
2022-04-14 15:45,0.645,0.71493,0.3725,0.41318,0.3925,0.43476,0.28625,0.31715,-0.4305,1.88,3.114,0.61425,16.56861,1.69625,1.69625,19.68261
2022-04-14 16:00,0.76625,0.75882,0.37125,0.3677,0.43625,0.43234,0.335,0.33116,-0.6295,1.89,4.498,0.61075,8.16324,1.90875,1.90875,12.66124
2022-04-14 16:15,0.74625,0.77132,0.34375,0.35551,0.38625,0.3994,0.3325,0.34379,-0.55475,1.87,2.422,0.616,11.69142,1.80875,1.80875,14.11342
2022-04-14 16:30,0.7925,0.81127,0.38875,0.39858,0.4225,0.43291,0.35875,0.36722,-0.57375,2.01,3.114,0.62125,12.72912,1.9625,1.9625,15.84312
2022-04-14 16:45,0.81125,0.84031,0.3925,0.40714,0.4575,0.47459,0.345,0.35793,-0.551,2.08,3.46,0.62475,5.15391,2.00625,2.00625,8.61391
2022-04-14 17:00,0.75875,0.81997,0.37375,0.40375,0.4375,0.47251,0.34625,0.37372,-0.4675,2.07,5.882,0.62125,12.31404,1.91625,1.91625,18.19604
2022-04-14 17:15,0.84375,0.86194,0.39625,0.405,0.47375,0.48393,0.3125,0.31917,-0.57575,2.07,5.882,0.6195,28.26003,2.02625,2.02625,34.14203
2022-04-14 17:30,0.8825,0.92288,0.3625,0.37961,0.465,0.48728,0.325,0.3402,-0.52275,2.13,3.806,0.61775,14.66616,2.035,2.035,18.47216
2022-04-14 17:45,0.805,0.84125,0.3625,0.37883,0.47125,0.4925,0.30375,0.31741,-0.53025,2.03,3.114,0.61775,8.75127,1.9425,1.9425,11.86527
2022-04-14 18:00,0.8125,0.86376,0.39875,0.42423,0.49625,0.52729,0.36375,0.38473,-0.48725,2.2,2.422,0.616,16.08435,2.07125,2.07125,18.50635
2022-04-14 18:15,0.8175,0.85669,0.3825,0.40101,0.5475,0.57293,0.38125,0.39937,-0.513,2.23,12.11,0.61425,33.5523,2.12875,2.12875,45.6623
2022-04-14 18:30,0.79875,0.81482,0.39875,0.40687,0.4675,0.47742,0.35375,0.36085,-0.58175,2.06,2.768,0.623,34.14033,2.01875,2.01875,36.90833
2022-04-14 18:45,0.81,0.80749,0.39625,0.39459,0.47625,0.47429,0.315,0.31366,-0.62875,1.99,3.114,0.62125,16.56861,1.9975,1.9975,19.68261
2022-04-14 19:00,0.82625,0.89661,0.40125,0.43516,0.43875,0.47531,0.325,0.35291,-0.45075,2.16,5.536,0.6195,14.04354,1.99125,1.99125,19.57954
2022-04-14 19:15,0.7975,0.87178,0.4225,0.46245,0.44,0.48044,0.28875,0.31534,-0.44175,2.13,3.46,0.623,26.04627,1.94875,1.94875,29.50627
2022-04-14 19:30,0.8,0.86583,0.39625,0.429,0.53375,0.57759,0.3025,0.32757,-0.4555,2.2,7.266,0.623,21.20367,2.0325,2.0325,28.46967
